Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,Threat Level,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Orc Fort of Riverfell,Rogue,6,Druid,4,Cleric,6,Ranger,4,Orcs,Orcs,Poison Needle Trap,Orcs,Orcs,Poison Needle Trap,Orcs,Poison Needle Trap,Orcs,Orc Shaman,,,5.0,10,6,0,Orcs,0,0,0,1,4,4,0,0,0,1,6,6,1,4,4,1,6,6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Orc Tower of Lemarchand,Ranger,3,Fighter,5,Cleric,5,Rogue,6,Cursed Altar,Cursed Altar,Wolves,Cursed Altar,Orcs,Orcs,Orcs,Orcs,Orc Shaman,,,,4.75,9,9,1,,1,5,5,1,3,3,0,0,0,1,5,5,0,0,0,1,6,6,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Forgotten Dungeon of Darkflight Pass,Druid,3,Ranger,3,Mage,4,Rogue,3,Ghosts,Riddle Door,Goblins,Ghosts,Boulder Trap,Cursed Altar,Zombies,,,,,,3.575,7,7,1,,0,0,0,1,3,3,1,4,4,0,0,0,1,3,3,1,3,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0
Old Den of Galoron,Fighter,3,Cleric,3,Mage,4,Ranger,4,Skeletons,Zombies,Poison Needle Trap,Skeletons,Snake Pit,Lich,,,,,,,4.0,6,6,1,,1,3,3,1,4,4,1,4,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1
Ancient Lair of Galoron,Fighter,4,Rogue,4,Ranger,5,Rogue,3,Cursed Altar,Zombies,Skeletons,Skeletons,Lich,,,,,,,,3.5,5,5,1,,1,4,4,1,5,5,0,0,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
Forgotten Treasure of Icemarch,Cleric,5,Cleric,4,Druid,5,Rogue,5,Zombies,Skeletons,Cursed Altar,Poison Needle Trap,Zombies,Ghosts,Boulder Trap,Poison Needle Trap,,,,,4.0,8,8,1,,0,0,0,0,0,0,0,0,0,2,9,5,1,5,5,1,5,5,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,2
Undead Sepulcher of Cheliax,Cleric,3,Fighter,1,Fighter,2,Druid,3,Boulder Trap,Zombies,Zombies,Boulder Trap,Skeletons,Zombies,,,,,,,2.75,6,5,0,Zombies,2,3,2,0,0,0,0,0,0,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0
Old Cave of Darkflight Pass,Fighter,3,Ranger,4,Rogue,4,Mage,5,Riddle Door,Cursed Altar,Wolves,Orcs,Dragon,,,,,,,,4.5,5,5,1,,1,3,3,1,4,4,1,5,5,0,0,0,0,0,0,1,4,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Black Orc Citadel of Sintharion,Druid,6,Rogue,7,Druid,6,Rogue,8,Orc Warlord,Orc Warlord,Snake Pit,Snake Pit,Snake Pit,Orc Warlord,Orcs,Wolves,Orcs,Orcs,,,7.25,10,10,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,2,15,8,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0
Orc Fort of Calantha,Cleric,3,Rogue,4,Ranger,3,Cleric,4,Cursed Altar,Wolves,Orcs,Orcs,Cursed Altar,Orc Shaman,,,,,,,3.25,6,6,1,,0,0,0,1,3,3,0,0,0,2,7,4,0,0,0,1,4,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Orc Fort of Riverfell,Rogue,2,Mage,2,Druid,1,Cleric,3,Orcs,Orcs,Poison Needle Trap,Orc Warlord,,,,,,,,,2.5,4,1,0,Orcs,0,0,0,0,0,0,1,2,2,1,3,3,1,1,1,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Cave of Khaz-Gorond,Fighter,3,Ranger,3,Druid,2,Mage,3,Riddle Door,Goblins,Wolves,Goblins,Basilisk,,,,,,,,2.9,5,5,1,,1,3,3,1,3,3,1,3,3,0,0,0,1,2,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Dread Maw of Stormwind,Fighter,4,Cleric,5,Druid,6,Druid,4,Wolves,Lever Puzzle Room,Boulder Trap,Goblins,Boulder Trap,Wolves,Dragon,,,,,,5.575,7,7,1,,1,4,4,0,0,0,0,0,0,1,5,5,2,10,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
Orc Warcamp of Almadris,Cleric,1,Rogue,4,Cleric,1,Fighter,3,Orcs,Orcs,Poison Needle Trap,Orcs,,,,,,,,,1.75,4,4,1,,1,3,3,0,0,0,0,0,0,2,2,1,0,0,0,1,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Tomb of Icemarch,Mage,4,Rogue,5,Ranger,6,Ranger,6,Cursed Altar,Zombies,Zombies,Skeletons,Lever Puzzle Room,Poison Needle Trap,Lich,,,,,,4.5,7,7,1,,0,0,0,2,12,6,1,4,4,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,1
Orc Camp of Riverfell,Fighter,2,Ranger,1,Druid,3,Ranger,1,Orcs,Orcs,Boulder Trap,Orc Warlord,,,,,,,,,2.5,4,3,0,Orc Warlord,1,2,2,2,2,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Timeless Dungeon of Cheliax,Druid,3,Fighter,3,Cleric,3,Mage,3,Skeletons,Lever Puzzle Room,Boulder Trap,Skeletons,Cursed Altar,Lever Puzzle Room,,,,,,,2.75,6,6,1,,1,3,3,0,0,0,1,3,3,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0
Old Cave of Azmar,Cleric,4,Ranger,4,Mage,3,Ranger,2,Cursed Altar,Boulder Trap,Zombies,Cursed Altar,Lich,,,,,,,,3.5,5,5,1,,0,0,0,2,6,4,1,3,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0
Goblin Tunnels of Icemarch,Ranger,5,Fighter,5,Ranger,5,Cleric,4,Snake Pit,Snake Pit,Goblins,Snake Pit,Goblins,Goblins,Goblins,Goblins,Snake Pit,Goblins,Goblins,Goblin Chieftain,4.775,12,8,0,Snake Pit,1,5,5,2,10,5,0,0,0,1,4,4,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Ancient Den of Lakeshore,Rogue,4,Mage,4,Druid,4,Rogue,4,Skeletons,Skeletons,Lever Puzzle Room,Dragon,,,,,,,,,3.75,4,3,0,Dragon,0,0,0,0,0,0,1,4,4,0,0,0,1,4,4,2,8,4,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
Sunken Lair of Darkflight Pass,Cleric,3,Rogue,3,Rogue,2,Druid,2,Lever Puzzle Room,Lever Puzzle Room,Wolves,Basilisk,,,,,,,,,2.75,4,4,1,,0,0,0,0,0,0,0,0,0,1,3,3,1,2,2,2,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
