Dungeon Name,Adventurer 1 Class,Adventurer 1 Level,Adventurer 2 Class,Adventurer 2 Level,Adventurer 3 Class,Adventurer 3 Level,Adventurer 4 Class,Adventurer 4 Level,Encounter 1,Encounter 2,Encounter 3,Encounter 4,Encounter 5,Encounter 6,Encounter 7,Encounter 8,Encounter 9,Encounter 10,Encounter 11,Encounter 12,# Encounters,# Encounters Beaten,Victory?,Defeated By,# of Fighter Adventurers,Total Level of Fighter Adventurers,Max Level of Fighter Adventurers,# of Ranger Adventurers,Total Level of Ranger Adventurers,Max Level of Ranger Adventurers,# of Mage Adventurers,Total Level of Mage Adventurers,Max Level of Mage Adventurers,# of Cleric Adventurers,Total Level of Cleric Adventurers,Max Level of Cleric Adventurers,# of Druid Adventurers,Total Level of Druid Adventurers,Max Level of Druid Adventurers,# of Rogue Adventurers,Total Level of Rogue Adventurers,Max Level of Rogue Adventurers,# of Goblins Encounters,# of Goblin Chieftain Encounters,# of Wolves Encounters,# of Orcs Encounters,# of Orc Warlord Encounters,# of Orc Shaman Encounters,# of Skeletons Encounters,# of Zombies Encounters,# of Ghosts Encounters,# of Basilisk Encounters,# of Lich Encounters,# of Dragon Encounters,# of Boulder Trap Encounters,# of Lever Puzzle Room Encounters,# of Riddle Door Encounters,# of Cursed Altar Encounters,# of Snake Pit Encounters,# of Poison Needle Trap Encounters
Old Den of Darkflight Pass,Rogue,2,Mage,3,Druid,2,Fighter,3,Lever Puzzle Room,Wolves,Basilisk,,,,,,,,,,3,3,1,,1,3,3,0,0,0,1,3,3,0,0,0,1,2,2,1,2,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Infernal Lair of Almadris,Cleric,2,Rogue,4,Fighter,2,Mage,3,Skeletons,Snake Pit,Skeletons,Lich,,,,,,,,,4,3,0,Lich,1,2,2,0,0,0,1,3,3,1,2,2,0,0,0,1,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1,0
Goblin Town of Icemarch,Ranger,4,Fighter,3,Cleric,4,Mage,4,Goblins,Goblins,Poison Needle Trap,Goblins,Goblins,Poison Needle Trap,Poison Needle Trap,Goblins,Goblins,Unknown,,,10,8,0,Goblins,1,3,3,1,4,4,1,4,4,1,4,4,0,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Orc Keep of Almadris,Druid,5,Ranger,4,Ranger,4,Cleric,4,Orcs,Orcs,Poison Needle Trap,Orcs,Poison Needle Trap,Unknown,Unknown,,,,,,7,4,0,Poison Needle Trap,0,0,0,2,8,4,0,0,0,1,4,4,1,5,5,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Lost Temple of Almadris,Druid,2,Rogue,3,Cleric,2,Rogue,4,Boulder Trap,Skeletons,Snake Pit,Zombies,Ghosts,Goblins,Unknown,,,,,,7,5,0,Goblins,0,0,0,0,0,0,0,0,0,1,2,2,1,2,2,2,7,4,1,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0
Forgotten Treasure of Cheliax,Mage,5,Rogue,6,Ranger,5,Rogue,6,Snake Pit,Zombies,Snake Pit,Lich,Lever Puzzle Room,Cursed Altar,Lich,Unknown,,,,,8,6,0,Lich,0,0,0,1,5,5,1,5,5,0,0,0,0,0,0,2,12,6,0,0,0,0,0,0,0,2,0,0,2,0,0,1,0,1,2,0
Undead City of Calantha,Rogue,3,Mage,3,Ranger,4,Ranger,3,Skeletons,Skeletons,Poison Needle Trap,Skeletons,Poison Needle Trap,Ghosts,,,,,,,6,6,1,,0,0,0,2,7,4,1,3,3,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,2
Undead Pyramid of Sintharion,Fighter,5,Mage,5,Ranger,6,Rogue,6,Poison Needle Trap,Zombies,Zombies,Ghosts,Poison Needle Trap,Poison Needle Trap,Zombies,Zombies,Lich,,,,9,9,1,,1,5,5,1,6,6,1,5,5,0,0,0,0,0,0,1,6,6,0,0,0,0,0,0,0,4,1,0,1,0,0,0,0,0,0,3
Nightmare Lair of Almadris,Druid,2,Fighter,3,Rogue,4,Mage,3,Poison Needle Trap,Zombies,Boulder Trap,Riddle Door,Basilisk,,,,,,,,5,5,1,,1,3,3,0,0,0,1,3,3,0,0,0,1,2,2,1,4,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1
Infernal Lair of Galoron,Mage,3,Fighter,4,Druid,4,Ranger,4,Lever Puzzle Room,Riddle Door,Skeletons,Zombies,Boulder Trap,Lich,,,,,,,6,6,1,,1,4,4,1,4,4,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,1,0,0,0
Nightmare Cave of Sintharion,Rogue,5,Cleric,3,Ranger,4,Cleric,3,Boulder Trap,Orcs,Riddle Door,Orcs,Basilisk,,,,,,,,5,4,0,Basilisk,0,0,0,1,4,4,0,0,0,2,6,3,0,0,0,1,5,5,0,0,0,2,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Night Goblin Town of Galoron,Ranger,1,Cleric,1,Mage,2,Fighter,1,Snake Pit,Goblins,Goblins,,,,,,,,,,3,3,1,,1,1,1,1,1,1,1,2,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Undead Pyramid of Stonefell Peak,Druid,4,Mage,3,Fighter,3,Fighter,3,Skeletons,Boulder Trap,Skeletons,Boulder Trap,Zombies,Zombies,Ghosts,,,,,,7,6,0,Ghosts,2,6,3,0,0,0,1,3,3,0,0,0,1,4,4,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,2,0,0,0,0,0
Nightmare Cave of Khaz-Gorond,Fighter,2,Fighter,1,Ranger,3,Rogue,2,Skeletons,Boulder Trap,Lich,,,,,,,,,,3,2,0,Lich,2,3,2,1,3,3,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0
Orc Camp of Cheliax,Ranger,7,Ranger,4,Mage,5,Fighter,4,Orcs,Cursed Altar,Cursed Altar,Wolves,Cursed Altar,Orcs,Orcs,Wolves,Orc Warlord,,,,9,9,1,,1,4,4,2,11,7,1,5,5,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0,0,0,0,0,0,0,0,3,0,0
Sunken Tomb of Stormwind,Cleric,3,Cleric,4,Fighter,3,Fighter,3,Skeletons,Cursed Altar,Skeletons,Zombies,Lich,,,,,,,,5,5,1,,2,6,3,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
Timeless Temple of Darkflight Pass,Mage,2,Ranger,3,Fighter,1,Mage,2,Cursed Altar,Cursed Altar,Cursed Altar,Poison Needle Trap,Unknown,,,,,,,,5,3,0,Poison Needle Trap,1,1,1,1,3,3,2,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,1
Lost Temple of Galoron,Rogue,5,Ranger,5,Cleric,3,Rogue,4,Zombies,Ghosts,Riddle Door,Boulder Trap,Orcs,Unknown,Unknown,Unknown,Unknown,,,,9,4,0,Orcs,0,0,0,1,5,5,0,0,0,1,3,3,0,0,0,2,9,5,0,0,0,1,0,0,0,1,2,0,0,0,1,0,1,2,0,1
Sunken Den of Calantha,Mage,1,Fighter,2,Fighter,3,Ranger,2,Lever Puzzle Room,Wolves,Boulder Trap,Basilisk,,,,,,,,,4,4,1,,2,5,3,1,2,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0
Lost Temple of Almadris,Rogue,3,Ranger,3,Cleric,4,Druid,3,Riddle Door,Snake Pit,Lever Puzzle Room,Zombies,Cursed Altar,,,,,,,,5,5,1,,0,0,0,1,3,3,0,0,0,1,4,4,1,3,3,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,1,1,0
Orc Town of Lemarchand,Cleric,1,Rogue,4,Ranger,1,Rogue,2,Orcs,Poison Needle Trap,Orc Shaman,,,,,,,,,,3,3,1,,0,0,0,1,1,1,0,0,0,1,1,1,0,0,0,2,6,4,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
Dread Den of Azmar,Rogue,4,Fighter,4,Mage,4,Cleric,3,Orcs,Riddle Door,Orcs,Poison Needle Trap,Wolves,Basilisk,,,,,,,6,6,1,,1,4,4,0,0,0,1,4,4,1,3,3,0,0,0,1,4,4,0,0,1,2,0,0,0,0,0,1,0,0,0,0,1,0,0,1
Old Den of Riverfell,Druid,4,Mage,4,Fighter,3,Druid,3,Cursed Altar,Skeletons,Lever Puzzle Room,Boulder Trap,Lich,,,,,,,,5,4,0,Lich,1,3,3,0,0,0,1,4,4,0,0,0,2,7,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,1,0,0
Nightmare Den of Riverfell,Druid,4,Rogue,4,Druid,6,Cleric,4,Snake Pit,Skeletons,Boulder Trap,Poison Needle Trap,Dragon,,,,,,,,5,5,1,,0,0,0,0,0,0,0,0,0,1,4,4,2,10,6,1,4,4,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1
Timeless Treasure of Lakeshore,Ranger,5,Fighter,4,Ranger,5,Cleric,7,Cursed Altar,Boulder Trap,Skeletons,Lever Puzzle Room,Lich,Riddle Door,Zombies,Snake Pit,Skeletons,,,,9,9,1,,1,4,4,2,10,5,0,0,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,1,1,1,1,1,0
Abandoned Temple of Stonefell Peak,Fighter,2,Rogue,4,Ranger,3,Ranger,1,Skeletons,Skeletons,Boulder Trap,Poison Needle Trap,Poison Needle Trap,,,,,,,,5,5,1,,1,2,2,2,4,3,0,0,0,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,2
Orc Keep of Riverfell,Mage,4,Druid,1,Mage,2,Ranger,1,Cursed Altar,Orcs,Orcs,Orcs,Unknown,Unknown,,,,,,,6,3,0,Orcs,0,0,0,1,1,1,2,6,4,0,0,0,1,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0
Nightmare Lair of Stormwind,Rogue,4,Druid,3,Druid,3,Rogue,3,Boulder Trap,Zombies,Poison Needle Trap,Basilisk,,,,,,,,,4,4,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,6,3,2,7,4,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1
Old Den of Icemarch,Druid,4,Ranger,3,Cleric,3,Rogue,4,Boulder Trap,Riddle Door,Zombies,Riddle Door,Zombies,Lich,,,,,,,6,6,1,,0,0,0,1,3,3,0,0,0,1,3,3,1,4,4,1,4,4,0,0,0,0,0,0,0,2,0,0,1,0,1,0,2,0,0,0
Ancient Cave of Sintharion,Rogue,6,Druid,5,Mage,5,Ranger,6,Goblins,Snake Pit,Cursed Altar,Goblins,Goblins,Snake Pit,Dragon,,,,,,7,6,0,Dragon,0,0,0,1,6,6,1,5,5,0,0,0,1,5,5,1,6,6,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,0
Nightmare Maw of Khaz-Gorond,Cleric,2,Druid,3,Fighter,4,Mage,2,Lever Puzzle Room,Poison Needle Trap,Zombies,Boulder Trap,Basilisk,,,,,,,,5,5,1,,1,4,4,0,0,0,1,2,2,1,2,2,1,3,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,0,1
Undead Mausoleum of Galoron,Fighter,3,Mage,2,Druid,3,Cleric,1,Zombies,Boulder Trap,Zombies,Ghosts,,,,,,,,,4,4,1,,1,3,3,0,0,0,1,2,2,1,1,1,1,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0
Lost Treasure of Lakeshore,Cleric,3,Rogue,3,Fighter,1,Ranger,2,Poison Needle Trap,Lever Puzzle Room,Riddle Door,Poison Needle Trap,Zombies,Poison Needle Trap,,,,,,,6,6,1,,1,1,1,1,2,2,0,0,0,1,3,3,0,0,0,1,3,3,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,3
Undead Keep of Icemarch,Ranger,4,Mage,2,Ranger,3,Rogue,4,Skeletons,Cursed Altar,Skeletons,Lich,,,,,,,,,4,3,0,Lich,0,0,0,2,7,4,1,2,2,0,0,0,0,0,0,1,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,1,0,0
Infernal Den of Darkflight Pass,Druid,4,Mage,4,Cleric,4,Rogue,4,Goblins,Boulder Trap,Riddle Door,Wolves,Cursed Altar,Dragon,,,,,,,6,6,1,,0,0,0,0,0,0,1,4,4,1,4,4,1,4,4,1,4,4,1,0,1,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
Nightmare Den of Lakeshore,Mage,5,Druid,3,Rogue,4,Fighter,3,Skeletons,Lever Puzzle Room,Lever Puzzle Room,Skeletons,Unknown,,,,,,,,5,3,0,Skeletons,1,3,3,0,0,0,1,5,5,0,0,0,1,3,3,1,4,4,0,0,0,0,0,0,2,0,0,0,1,0,0,2,0,0,0,0
Orc Fort of Riverfell,Rogue,6,Druid,4,Cleric,6,Ranger,4,Orcs,Orcs,Poison Needle Trap,Orcs,Orcs,Poison Needle Trap,Orcs,Unknown,Unknown,Unknown,,,10,6,0,Orcs,0,0,0,1,4,4,0,0,0,1,6,6,1,4,4,1,6,6,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,3
Orc Tower of Lemarchand,Ranger,3,Fighter,5,Cleric,5,Rogue,6,Cursed Altar,Cursed Altar,Wolves,Cursed Altar,Orcs,Orcs,Orcs,Orcs,Orc Shaman,,,,9,9,1,,1,5,5,1,3,3,0,0,0,1,5,5,0,0,0,1,6,6,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0,3,0,0
Forgotten Dungeon of Darkflight Pass,Druid,3,Ranger,3,Mage,4,Rogue,3,Ghosts,Riddle Door,Goblins,Ghosts,Boulder Trap,Cursed Altar,Zombies,,,,,,7,7,1,,0,0,0,1,3,3,1,4,4,0,0,0,1,3,3,1,3,3,1,0,0,0,0,0,0,1,2,0,0,0,1,0,1,1,0,0
Old Den of Galoron,Fighter,3,Cleric,3,Mage,4,Ranger,4,Skeletons,Zombies,Poison Needle Trap,Skeletons,Snake Pit,Lich,,,,,,,6,6,1,,1,3,3,1,4,4,1,4,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,1,1
Ancient Lair of Galoron,Fighter,4,Rogue,4,Ranger,5,Rogue,3,Cursed Altar,Zombies,Skeletons,Skeletons,Lich,,,,,,,,5,5,1,,1,4,4,1,5,5,0,0,0,0,0,0,0,0,0,2,7,4,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,1,0,0
Forgotten Treasure of Icemarch,Cleric,5,Cleric,4,Druid,5,Rogue,5,Zombies,Skeletons,Cursed Altar,Poison Needle Trap,Zombies,Ghosts,Boulder Trap,Poison Needle Trap,,,,,8,8,1,,0,0,0,0,0,0,0,0,0,2,9,5,1,5,5,1,5,5,0,0,0,0,0,0,1,2,1,0,0,0,1,0,0,1,0,2
Undead Sepulcher of Cheliax,Cleric,3,Fighter,1,Fighter,2,Druid,3,Boulder Trap,Zombies,Zombies,Boulder Trap,Skeletons,Zombies,,,,,,,6,5,0,Zombies,2,3,2,0,0,0,0,0,0,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,2,0,0,0,0,0
Old Cave of Darkflight Pass,Fighter,3,Ranger,4,Rogue,4,Mage,5,Riddle Door,Cursed Altar,Wolves,Orcs,Dragon,,,,,,,,5,5,1,,1,3,3,1,4,4,1,5,5,0,0,0,0,0,0,1,4,4,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0
Black Orc Citadel of Sintharion,Druid,6,Rogue,7,Druid,6,Rogue,8,Orc Warlord,Orc Warlord,Snake Pit,Snake Pit,Snake Pit,Orc Warlord,Orcs,Wolves,Orcs,Orcs,,,10,10,1,,0,0,0,0,0,0,0,0,0,0,0,0,2,12,6,2,15,8,0,0,1,3,3,0,0,0,0,0,0,0,0,0,0,0,3,0
Orc Fort of Calantha,Cleric,3,Rogue,4,Ranger,3,Cleric,4,Cursed Altar,Wolves,Orcs,Orcs,Cursed Altar,Orc Shaman,,,,,,,6,6,1,,0,0,0,1,3,3,0,0,0,2,7,4,0,0,0,1,4,4,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0
Orc Fort of Riverfell,Rogue,2,Mage,2,Druid,1,Cleric,3,Orcs,Orcs,Unknown,Unknown,,,,,,,,,4,1,0,Orcs,0,0,0,0,0,0,1,2,2,1,3,3,1,1,1,1,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Cave of Khaz-Gorond,Fighter,3,Ranger,3,Druid,2,Mage,3,Riddle Door,Goblins,Wolves,Goblins,Basilisk,,,,,,,,5,5,1,,1,3,3,1,3,3,1,3,3,0,0,0,1,2,2,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Dread Maw of Stormwind,Fighter,4,Cleric,5,Druid,6,Druid,4,Wolves,Lever Puzzle Room,Boulder Trap,Goblins,Boulder Trap,Wolves,Dragon,,,,,,7,7,1,,1,4,4,0,0,0,0,0,0,1,5,5,2,10,6,0,0,0,1,0,2,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0
Orc Warcamp of Almadris,Cleric,1,Rogue,4,Cleric,1,Fighter,3,Orcs,Orcs,Poison Needle Trap,Orcs,,,,,,,,,4,4,1,,1,3,3,0,0,0,0,0,0,2,2,1,0,0,0,1,4,4,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Old Tomb of Icemarch,Mage,4,Rogue,5,Ranger,6,Ranger,6,Cursed Altar,Zombies,Zombies,Skeletons,Lever Puzzle Room,Poison Needle Trap,Lich,,,,,,7,7,1,,0,0,0,2,12,6,1,4,4,0,0,0,0,0,0,1,5,5,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,1,0,1
Orc Camp of Riverfell,Fighter,2,Ranger,1,Druid,3,Ranger,1,Orcs,Orcs,Boulder Trap,Orc Warlord,,,,,,,,,4,3,0,Orc Warlord,1,2,2,2,2,1,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0
Timeless Dungeon of Cheliax,Druid,3,Fighter,3,Cleric,3,Mage,3,Skeletons,Lever Puzzle Room,Boulder Trap,Skeletons,Cursed Altar,Lever Puzzle Room,,,,,,,6,6,1,,1,3,3,0,0,0,1,3,3,1,3,3,1,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,2,0,1,0,0
Old Cave of Azmar,Cleric,4,Ranger,4,Mage,3,Ranger,2,Cursed Altar,Boulder Trap,Zombies,Cursed Altar,Lich,,,,,,,,5,5,1,,0,0,0,2,6,4,1,3,3,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,2,0,0
Goblin Tunnels of Icemarch,Ranger,5,Fighter,5,Ranger,5,Cleric,4,Snake Pit,Snake Pit,Goblins,Snake Pit,Goblins,Goblins,Goblins,Goblins,Snake Pit,Unknown,Unknown,Unknown,12,8,0,Snake Pit,1,5,5,2,10,5,0,0,0,1,4,4,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0
Ancient Den of Lakeshore,Rogue,4,Mage,4,Druid,4,Rogue,4,Skeletons,Skeletons,Lever Puzzle Room,Dragon,,,,,,,,,4,3,0,Dragon,0,0,0,0,0,0,1,4,4,0,0,0,1,4,4,2,8,4,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0
Sunken Lair of Darkflight Pass,Cleric,3,Rogue,3,Rogue,2,Druid,2,Lever Puzzle Room,Lever Puzzle Room,Wolves,Basilisk,,,,,,,,,4,4,1,,0,0,0,0,0,0,0,0,0,1,3,3,1,2,2,2,5,3,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0
Lost Treasure of Lakeshore,Cleric,1,Druid,2,Ranger,3,Mage,2,Boulder Trap,Cursed Altar,Zombies,Lever Puzzle Room,Unknown,Unknown,,,,,,,6,3,0,Lever Puzzle Room,0,0,0,1,3,3,1,2,2,1,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,1,0
Timeless Treasure of Cheliax,Fighter,3,Ranger,4,Druid,3,Ranger,3,Boulder Trap,Skeletons,Boulder Trap,Riddle Door,Snake Pit,Zombies,Zombies,,,,,,7,7,1,,1,3,3,2,7,4,0,0,0,0,0,0,1,3,3,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,2,0,1,0,1,0
Orc Keep of Sintharion,Druid,6,Ranger,5,Ranger,5,Mage,6,Wolves,Orcs,Wolves,Wolves,Boulder Trap,Boulder Trap,Boulder Trap,Orcs,Orcs,Orc Shaman,,,10,10,1,,0,0,0,2,10,5,1,6,6,0,0,0,1,6,6,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,3,0,0,0,0,0
